Date,Pitcher,Pick,Line,Actual_K,Result,Matchup,Actual_IP
2026-06-26,JP Sears,O 3.5,5.0,5.2,WIN,,
2026-06-26,Joe Ryan,O 5.5,9.0,6.0,WIN,,
2026-06-26,Shohei Ohtani,O 6.5,8.0,6.0,WIN,,
2026-06-18,Rhett Lowder,U 4.5,5.0,5.1,LOSS,,
2026-06-18,Connor Prielipp,O 3.5,4.0,6.0,WIN,,
2026-06-18,Michael Soroka,O 5.5,0.0,1.0,LOSS,,
2026-06-18,Michael McGreevy,O 3.5,5.0,5.0,WIN,,
2026-06-18,Seth Lugo,U 6.5,5.0,6.0,WIN,,
2026-06-18,Randy Vásquez,O 3.5,6.0,3.1,WIN,,
2026-06-26,Miles Mikolas,U 3.5,1.0,3.1,WIN,,
2026-06-26,Aaron Nola,O 4.5,5.0,5.0,WIN,,
2026-06-18,Trey Gibson,U 3.5,8.0,5.0,LOSS,,
2026-06-18,Ben Brown,U 4.5,4.0,6.0,WIN,,
2026-06-26,Trey Gibson,U 4.5,5.0,4.0,LOSS,,
2026-06-18,Kevin Gausman,O 5.5,3.0,2.0,LOSS,,
2026-06-18,Griffin Jax,U 4.5,5.0,5.0,LOSS,,
2026-06-18,Kyle Freeland,U 4.5,8.0,7.1,LOSS,,
2026-06-18,Martín Pérez,O 3.5,5.0,6.0,WIN,,
2026-06-18,Bubba Chandler,U 4.5,1.0,6.0,WIN,,
2026-06-18,Jacob Misiorowski,O 8.5,7.0,6.0,LOSS,,
2026-06-18,Jacob deGrom,O 6.5,9.0,6.0,WIN,,
2026-06-18,Ranger Suarez,U 5.5,5.0,6.2,WIN,,
2026-06-18,Landen Roupp,O 5.5,7.0,6.0,WIN,,
2026-06-18,Roki Sasaki,U 5.5,6.0,5.2,LOSS,,
2026-06-18,Jeffrey Springs,O 4.5,4.0,3.2,LOSS,,
2026-06-18,Bryce Miller,O 4.5,7.0,5.0,WIN,,
2026-06-18,Tarik Skubal,O 6.5,8.0,5.2,WIN,,
2026-06-16,Kodai Senga,U 5.5,5.0,4.0,WIN,,
2026-06-16,Robert Gasser,U 4.5,5.0,5.2,LOSS,,
2026-06-18,José Soriano,O 3.5,6.0,5.0,WIN,,
2026-06-16,Slade Cecconi,U 4.5,4.0,5.2,WIN,,
2026-06-16,Edward Cabrera,U 5.5,3.0,4.1,WIN,,
2026-06-15,Ryan Gusto,U 3.5,1.0,3.1,WIN,,
2026-06-15,Walbert Ureña,U 4.5,3.0,7.0,WIN,,
2026-06-15,Tobias Myers,U 2.5,1.0,1.1,WIN,,
2026-06-16,Framber Valdez,O 4.5,6.0,6.0,WIN,,
2026-06-16,Hunter Brown,O 6.5,7.0,5.2,WIN,,
2026-06-16,Michael King,O 4.5,5.0,4.1,WIN,,
2026-06-16,Andre Pallante,O 3.5,6.0,7.0,WIN,,
2026-06-15,J.T. Ginn,U 4.5,3.0,6.0,WIN,,
2026-06-15,Zack Wheeler,O 6.5,9.0,6.0,WIN,,
2026-06-15,Shota Imanaga,U 6.5,3.0,5.2,WIN,,
2026-06-15,Ryne Nelson,U 4.5,5.0,7.0,LOSS,,
2026-06-15,Nick Martinez,O 3.5,6.0,5.1,WIN,,
2026-06-15,Eric Lauer,U 3.5,4.0,6.0,LOSS,,
2026-06-15,Andrew Alvarez,U 4.5,5.0,4.0,LOSS,,
2026-06-15,Jared Jones,NL,4.0,4.0,NL,,
2026-06-30,Aaron Nola,O,5.5,5.0,L,,
2026-06-30,Braxton Ashcraft,O,5.5,8.0,W,,
2026-06-30,Zebby Matthews,O,4.5,5.0,W,,
2026-06-30,Peter Lambert,O,4.5,4.0,L,,
2026-06-30,Sean Burke,O,5.5,8.0,W,,
2026-06-30,Shane Baz,U,5.5,7.0,L,,
2026-06-30,Sean Manaea,O,3.5,4.0,W,,
2026-06-30,Trey Yesavage,U,6.5,3.0,W,,
2026-06-30,George Kirby,O,6.5,7.0,W,,
2026-06-30,Ryan Johnson,U,4.5,3.0,W,,
2026-06-30,Shota Imanaga,O,4.5,4.0,L,,
2026-06-30,Casey Mize,O,5.5,8.0,W,,
2026-06-30,Ryan Weathers,O,6.5,3.0,L,,
2026-06-30,Parker Messick,O,5.5,5.0,L,,
2026-06-30,Tyler Alexander,O,0.5,2.0,W,,
2026-06-30,Sandy Alcantara,O,4.5,3.0,L,,
2026-06-30,Robert Gasser,O,5.5,5.0,L,,
2026-06-30,Nick Lodolo,O,4.5,4.0,L,,
2026-06-27,Jose Cabrera,U,3.5,4.0,L,,
